1.77,5.34584,5.2176,12.867,1.96218,3.41103,
3.744,5.20889,5.46581,8.373,1.82624,3.7606,
3.617,5.89371,5.44928,6.63,1.57677,2.99141,
2.426,5.23863,5.75051,17.497,1.93384,13.5992,
2.404,4.99519,5.52926,16.769,3.45071,6.26629,
3.371,7.00048,5.89193,15.641,2.5773,13.4092,
2.191,7.31951,5.8675,7.069,2.03193,5.40997,
2.123,6.79545,5.38855,6.856,1.68421,3.59632,
2.422,8.18706,5.2568,13.316,2.43901,13.1395,
1.977,7.21241,5.42536,7.126,1.61496,4.09809,
4.309,4.67754,5.24226,6.581,1.81724,3.73768,
2.527,5.61872,5.71019,7.217,1.69169,4.17741,
2.222,7.82329,5.49945,4.83,1.7847,4.64886,
6.026,6.6636,5.932,5.717,1.79398,4.42309,
2.259,6.03793,5.36167,7.828,1.84193,3.30883,
2.395,7.94342,5.13642,10.35,2.95971,5.25901,
5.935,7.72477,5.35279,-1,2.11996,5.04762,
2.444,6.06766,5.6984,8.131,2.19325,5.44309,
2.137,6.67633,5.45242,9.533,2.95631,11.1309,
3.08,5.99599,5.12441,-1,1.94298,3.26239,
2.721,5.68632,4.9344,12.563,1.92891,3.37772,
3.289,6.91309,8.57318,5.406,1.76605,3.54208,
2.524,8.01898,5.12541,-1,1.97141,3.59843,
3.135,8.85884,5.43138,3.064,1.51794,1.60116,
2.561,7.8241,5.68883,7.012,1.76952,5.58097,
7.478,7.72621,5.77883,9.5,1.87652,5.01175,
2.172,7.26399,5.26997,4.907,1.72092,3.09819,
2.142,6.19745,5.4273,2.952,0.984631,2.44285,
3.399,7.45843,6.12534,6.868,1.52764,2.54447,
2.196,8.02103,5.77451,16.229,2.62947,13.4952,
5.079,7.01803,6.08164,7.515,1.71753,4.6043,
3.58,8.22584,5.44199,12.052,1.94186,12.9231,
1.544,6.69145,5.31856,10.798,1.90246,5.52333,
2.682,5.91808,6.6355,7.118,1.58355,4.87462,
2.904,7.67854,5.11382,4.372,1.83894,3.38916,
3.605,6.90641,5.80624,6.706,1.58615,3.7253,
2.73,6.73496,5.20701,7.084,1.5913,4.8451,
2.41,8.11039,5.68498,7.275,1.82917,4.7497,
3.461,4.99471,5.39333,8.213,2.84779,6.05483,
7.45,6.37774,5.47474,7.673,1.83673,4.46236,
2.723,6.76574,5.93258,26.927,2.01514,13.175,
2.378,7.87139,5.85011,7.222,1.82235,4.71805,
4.508,6.75954,5.45555,7.122,1.83407,3.74778,
4.108,5.95371,5.80791,-1,1.64287,4.44153,
2.299,7.82249,4.99225,7.569,1.98777,13.4136,
3.123,6.01755,5.47181,17.991,2.03223,13.2129,
2.982,8.18433,5.30021,5.172,1.06143,4.35421,
2.406,6.76469,5.20655,8.366,1.12972,3.27093,
2.371,7.43589,5.5055,7.92,1.79162,4.2937,
1.794,8.22231,5.48574,8.298,1.16381,4.30652,
1.142,4.34186,5.89806,10.9,1.81184,5.10873,
4.1,8.27144,5.40736,-1,1.96941,4.06759,
4.049,6.89841,5.39199,6.665,1.72296,3.37669,
2.072,7.55089,5.39834,-1,1.83508,2.23398,
1.705,6.33604,5.41734,6.566,1.65198,3.89599,
4.571,6.63137,5.56771,13.483,1.88004,3.65319,
4.582,6.75643,5.49608,-1,1.79934,2.56242,
1.266,6.814,5.5497,7.026,1.5959,1.73354,
6.03,6.69139,5.56564,6.392,1.74643,3.3359,
2.244,6.47524,5.48475,7.015,1.78904,4.38605,
1.951,7.30249,5.57788,10.986,1.87597,5.14012,
1.849,7.37359,5.15408,4.04,1.50077,1.5824,
1.972,5.73625,5.05858,5.6,1.842,3.44967,
1.699,6.37088,4.88807,6.889,1.61146,3.98539,
4.328,5.98042,5.10237,8.643,2.86891,9.38889,
4.719,6.8474,5.93194,14.485,3.15736,11.3801,
1.816,8.10991,5.43769,-1,1.80097,2.46784,
4.322,7.05026,5.91386,28.861,3.1072,10.6566,
2.648,6.19444,5.48014,9.263,1.82688,4.74471,
3.345,9.45667,8.69213,8.352,1.6552,3.26261,
5.737,4.72426,9.75643,8.226,1.80755,4.11773,
1.051,6.59122,6.97394,5.066,0.926605,3.05704,
2.821,5.38066,5.77906,5.13,1.65071,3.07475,
3.935,7.14195,5.32796,5.689,1.72256,3.16264,
2.374,7.80375,5.49233,-1,2.55271,5.06141,
2.442,7.55052,6.10841,7.377,1.65996,4.68935,
3.391,8.19254,6.04053,7.712,1.85277,4.95575,
1.684,6.71968,5.72596,-1,2.54626,5.0639,
6.294,8.18892,5.44228,7.413,3.1118,7.64277,
4.884,6.74632,6.10212,7.231,2.35416,6.75478,
1.758,7.24038,5.43779,7.274,1.72386,4.91502,
3.156,6.58268,4.96905,8.911,1.67147,4.60921,
6.341,6.49295,5.32696,-1,1.91257,3.61103,
2.024,8.43366,5.65675,7.427,1.69236,4.80439,
3.098,6.38761,5.21168,12.41,2.00005,3.79911,
5.805,7.62414,5.00087,12.25,2.28263,4.36515,
3.182,7.78888,5.5155,7.536,2.42962,5.24487,
1.814,5.41031,5.52282,7.652,1.65686,4.57181,
1.865,6.66218,5.44863,6.803,1.60629,3.81201,
1.811,5.34433,5.20706,10.903,1.89632,3.17877,
2.889,6.0081,4.79347,9.756,1.78236,4.72997,
3.517,6.82025,5.40765,-1,1.99691,4.17249,
1.826,5.95332,5.40818,11.64,2.00689,13.2258,
3.726,7.73495,5.92986,8.352,2.18471,5.64659,
2.086,7.51022,6.62178,-1,0.987998,4.67135,
3.248,6.79519,5.1166,11.533,2.01106,3.28627,
1.953,9.14165,5.43791,-1,3.30579,10.5798,
3.498,8.56008,5.31811,15.314,1.97947,3.46365,
2.448,9.00004,5.30932,15.268,1.99526,13.3416,
4.596,8.60952,5.61506,10.047,1.71719,3.37189,
